DATEPRD,NPD_WELL_BORE_NAME,ON_STREAM_HRS,AVG_DOWNHOLE_PRESSURE,AVG_DOWNHOLE_TEMPERATURE
07/12/2014,15/9-F-1 C,0.00,275.952,102.406
08/12/2014,15/9-F-1 C,0.00,278.687,102.050
09/12/2014,15/9-F-1 C,0.00,281.008,101.824
10/12/2014,15/9-F-1 C,0.00,283.097,101.656
11/12/2014,15/9-F-1 C,0.00,285.061,101.521
12/12/2014,15/9-F-1 C,0.00,286.896,101.409
13/12/2014,15/9-F-1 C,0.00,288.623,101.310
14/12/2014,15/9-F-1 C,0.00,290.254,101.223
15/12/2014,15/9-F-1 C,0.00,291.848,101.145
16/12/2014,15/9-F-1 C,0.00,293.312,101.073
17/12/2014,15/9-F-1 C,0.00,294.709,101.008
18/12/2014,15/9-F-1 C,0.00,296.067,100.947
19/12/2014,15/9-F-1 C,0.00,297.338,100.890
20/12/2014,15/9-F-1 C,0.00,298.522,100.836
21/12/2014,15/9-F-1 C,0.00,299.668,100.787
22/12/2014,15/9-F-1 C,0.00,300.789,100.740
23/12/2014,15/9-F-1 C,0.00,301.897,100.694
24/12/2014,15/9-F-1 C,0.00,302.909,100.652
25/12/2014,15/9-F-1 C,0.00,303.889,100.611
26/12/2014,15/9-F-1 C,0.00,304.878,100.573
27/12/2014,15/9-F-1 C,0.00,305.813,100.535
28/12/2014,15/9-F-1 C,0.00,306.697,100.498
29/12/2014,15/9-F-1 C,0.00,307.493,100.464
30/12/2014,15/9-F-1 C,0.00,308.202,100.435
31/12/2014,15/9-F-1 C,0.00,309.332,100.401
01/01/2015,15/9-F-1 C,9.50,298.436,105.301
02/01/2015,15/9-F-1 C,24.00,292.150,107.430
03/01/2015,15/9-F-1 C,24.00,279.989,107.896
04/01/2015,15/9-F-1 C,24.00,271.298,107.912
05/01/2015,15/9-F-1 C,24.00,265.070,107.940
06/01/2015,15/9-F-1 C,24.00,258.827,107.946
07/01/2015,15/9-F-1 C,24.00,254.714,107.882
08/01/2015,15/9-F-1 C,24.00,251.043,107.878
09/01/2015,15/9-F-1 C,17.67,247.724,107.561
10/01/2015,15/9-F-1 C,20.67,244.412,107.638
11/01/2015,15/9-F-1 C,24.00,243.650,107.788
12/01/2015,15/9-F-1 C,24.00,239.913,107.881
13/01/2015,15/9-F-1 C,24.00,234.206,107.908
14/01/2015,15/9-F-1 C,24.00,230.074,107.536
15/01/2015,15/9-F-1 C,24.00,230.811,107.820
16/01/2015,15/9-F-1 C,24.00,229.089,107.822
17/01/2015,15/9-F-1 C,24.00,228.883,107.817
18/01/2015,15/9-F-1 C,24.00,228.883,107.817
19/01/2015,15/9-F-1 C,24.00,228.883,107.817
20/01/2015,15/9-F-1 C,18.67,224.075,107.209
21/01/2015,15/9-F-1 C,1.00,226.790,106.085
22/01/2015,15/9-F-1 C,0.00,234.755,103.117
23/01/2015,15/9-F-1 C,0.00,239.532,102.257
24/01/2015,15/9-F-1 C,0.00,243.039,101.578
