Date,p (psia),Np (STB),Gp (SCF),Wp (STB),Gi (SCF),Wi (STB),Rp (SCF/STB),Bo (RB/STB),Bg (RB/SCF),Rs (SCF/STB),Rv (STB/SCF)
2010-12-01,4888.5,38608000,31126900000,13479300.0,0,71568300,806.2289999999999,1.3031855208337226,0.0009467290557121663,627.7110850725221,0.0
2011-01-01,4886.18,39275100,31701100000,14913600.0,0,73946400,807.154,1.3032222312942028,0.0009470539992443904,627.7110850725221,0.0
2011-02-01,4852.67,39735700,32103900000,15949900.0,0,75675100,807.937,1.3037509699203078,0.0009517907051142196,627.7110850725221,0.0
2011-03-01,4896.76,40327500,32618400000,17401000.0,0,77998600,808.836,1.3030545393319939,0.00094557522698338,627.7110850725221,0.0
2011-04-01,4896.76,40891200,33112800000,18899500.0,0,80322000,809.7769999999999,1.3030545393319939,0.00094557522698338,627.7110850725221,0.0
2011-05-01,4889.22,41446800,33601700000,20464900.0,0,82709600,810.7189999999999,1.3031741216533939,0.0009466282886431125,627.7110850725221,0.0
2011-06-01,4884.87,41781500,33894400000,21444900.0,0,84194100,811.2310000000001,1.303242947312215,0.0009472376489564656,627.7110850725221,0.0
2011-07-01,4900.39,41987000,34067900000,21909700.0,0,84982900,811.393,1.302996812239866,0.0009450696690084232,627.7110850725221,0.0
2011-08-01,4910.69,42528500,34533900000,23217500.0,0,87089600,812.0169999999999,1.3028330724568542,0.0009436401388922929,627.7110850725221,0.0
2011-09-01,4888.64,43038300,34980700000,24754700.0,0,89357600,812.78,1.303183304568132,0.0009467094592445656,627.7110850725221,0.0
2011-10-01,4879.65,43255000,35169700000,25442600.0,0,90388700,813.079,1.30332541707198,0.0009479706580541185,627.7110850725221,0.0
2011-11-01,4891.98,43612400,35475800000,26381900.0,0,91856200,813.433,1.3031303947986121,0.0009462423539215057,627.7110850725221,0.0
2011-12-01,4894.3,43941100,35752400000,27256900.0,0,93218900,813.645,1.303093599084439,0.0009459183599062051,627.7110850725221,0.0
